id,company_name,establishment_name,ein,street_address,city,state,zip_code,naics_code,industry_description,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_poisonings,total_respiratory_conditions,total_skin_disorders,total_hearing_loss,total_other_illnesses,establishment_id,establishment_type,size,year_filing_for,created_timestamp,change_reason
1165435,"Innovative Water Care, LLC","Innovative Water Care, LLC",,"1200 Old Lower River Road, PO Box 800",Charleston,TN,37310,325180, Calcium hypochlorite manufacturing ,223,566430,1,0,3,0,1,154,0,2,0,2,0,0,0,590540,1.0,3,2020,2/3/2021 17:30:23,
1166115,BASF Corporation,BASF Freeport,1307032.0,602 Copper Road,Freeport,TX,77541,325199, Caprolactam manufacturing ,990,2139243,1,0,2,0,1,85,0,3,0,0,0,0,0,209553,1.0,3,2020,2/3/2021 19:03:12,
1166293,Keith Day Company Inc,Keith Day Company Inc,710993551.0,1091 Madison Lane,Salinas,CA,93907,325314, Compost manufacturing ,102,220312,1,0,5,0,3,180,0,8,0,0,0,0,0,569709,1.0,2,2020,2/3/2021 19:23:01,
1166750,Integrated DNA Technologies ,Life Sciences : IDT - Coralville 2470,421301142.0,2470 Oakdale Blvd,Coralville,IA,52241,325199,All other Basic Organic Chemical Manufacturing  ,126,254826,2,0,0,0,0,0,0,0,0,0,0,0,0,668918,1.0,2,2020,2/3/2021 20:14:51,
1166817,Integrated DNA Technologies ,Life Sciences : IDT - Coralville 2500,421301142.0,2500 Crosspark Road,Coralville,IA,52241,325199,All other Basic Organic Chemical Manufacturing  ,43,87254,2,0,0,0,0,0,0,0,0,0,0,0,0,668931,1.0,2,2020,2/3/2021 20:23:51,
1166823,Integrated DNA Technologies ,Life Sciences : IDT - Coralville 2501,421301142.0,2501 Crosspark Road,Coralville,IA,52241,325199,All other Basic Organic Chemical Manufacturing  ,58,117220,2,0,0,0,0,0,0,0,0,0,0,0,0,668933,1.0,2,2020,2/3/2021 20:24:51,
1166825,Integrated DNA Technologies,Life Sciences : IDT - Coralville 2600,421301142.0,2600 Crosspark Road,Coralville,IA,52241,325199,All other Basic Organic Chemical Manufacturing  ,90,181389,1,0,0,0,1,0,0,1,0,0,0,0,0,668935,1.0,2,2020,2/3/2021 20:25:01,
1166828,Integrated DNA Technologies,Life Sciences : IDT - Coralville 2660,421301142.0,2660 Crosspark Road,Coralville,IA,52241,325199,All other Basic Organic Chemical Manufacturing  ,19,37131,2,0,0,0,0,0,0,0,0,0,0,0,0,668937,1.0,1,2020,2/3/2021 20:25:51,
1166829,Integrated DNA Technologies ,Life Sciences : IDT - Coralville 2812,421301142.0,2812 Commerce Drive,Coralville,IA,52241,325199,All other Basic Organic Chemical Manufacturing  ,47,95986,2,0,0,0,0,0,0,0,0,0,0,0,0,668938,1.0,2,2020,2/3/2021 20:26:51, 
1166835,Integrated DNA Technologies ,Life Sciences : IDT - Evanston,421301142.0,500 Davis Street #1010,Evanston,IL,60201,325199,All other Basic Organic Chemical Manufacturing  ,11,24808,2,0,0,0,0,0,0,0,0,0,0,0,0,668939,1.0,1,2020,2/3/2021 20:27:01,
1166949,Integrated DNA Technologies,Life Sciences : IDT - San Diego 2,421301142.0,5626 Oberlin Drive,San Diego,CA,92121,325199,All other Basic Organic Chemical Manufacturing  ,21,42000,1,0,1,1,1,29,209,2,0,0,0,0,1,668981,1.0,2,2020,2/3/2021 20:41:51,
1166952,Integrated DNA Technologies,Life Sciences : IDT - San Diego,421301142.0,6828 Nancy Ridge Drive,San Diego,CA,92121,325199,All other Basic Organic Chemical Manufacturing  ,49,93056,1,0,1,2,1,1,28,2,0,0,0,0,2,668982,1.0,2,2020,2/3/2021 20:42:01,
1166958,Integrated DNA Technologies,Life Sciences : IDT - Redwood City,421301142.0,"1100 Island Drive, Suite 201",Redwood City,CA,94065,325199,All other Basic Organic Chemical Manufacturing,25,49183,2,0,0,0,0,0,0,0,0,0,0,0,0,668985,1.0,2,2020,2/3/2021 20:42:51,
1167049,Cabot Corporation,Cabot Corporation Carrollton,42271897.0,5414 US Highway 42 East,Carrollton ,KY,41008,325180," Silica, amorphous, manufacturing ",26,62611,2,0,0,0,0,0,0,0,0,0,0,0,0,357458,1.0,2,2020,2/3/2021 20:50:48,
1167128,Gulbrandsen Chemicals,Gulbrandsen Chemicals - Orangeburg Facility,,183 Gulbrandsen Road,Orangeburg,SC,29115,325180," Aluminum compounds, not specified elsewhere by process, manufacturing ",100,267509,1,0,2,1,1,151,79,4,0,0,0,0,0,106161,1.0,2,2020,2/3/2021 20:54:13,
